NPS_Grupo;COMENTARIO_NPS;TACTICO;1ERA CAUSA RAIZ
Promotor;Buena atencion y buenas promos;CONVENIENCIA;Precio
Detractor;Precios altos y con la crisis es imposible sostener por ejemplo mi qbono;CONVENIENCIA;Precio
Pasivo;Quisiera que la senal de internet sea mejor;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No.me.deja pedir wifi pass;CONVENIENCIA;Packs
Detractor;Todos los meses aumentan y en la calle no tengo senal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Plames caros;CONVENIENCIA;Precio
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Es muy buena;RELACIONAMIENTO;Atencion a Clientes
Promotor;Por la buena  senal ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy caros  los prepago;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Por que el otro mes no pude pagar y este mes page los 2 meses y no me cortaron la linea;CONVENIENCIA;Beneficios
Promotor;Funciona bien;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No estoy conforme con la atencion al cliente;RELACIONAMIENTO;Atencion a Clientes
Promotor;BUENA ATENCIoN ;RELACIONAMIENTO;Atencion a Clientes
Detractor;El predio muy alto;CONVENIENCIA;Precio
Pasivo;Exorbitantes precios en la facturacion ;RELACIONAMIENTO;Facturacion y Pago 
Promotor;10;CONVENIENCIA;Packs
Pasivo;Muy costoso ;CONVENIENCIA;Precio
Promotor;;CONVENIENCIA;Packs
Pasivo;Esta muy caro y como es costumbre no atienden el telefono  sino tenes una promo no se puede pagar;CONVENIENCIA;Precio
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Opion personal;CONVENIENCIA;Precio
Promotor;la facilidad en la comunicacion;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Abonos muy caros ;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buena atencion,  buen servicio en gral pero hace mas de una semana que estamos sin cable y sin internet , funciona en forma intermitente y algunos dias, nada ;RELACIONAMIENTO;Atencion a Clientes
Promotor;ES UNA BUENA EMPRESA ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;CONVENIENCIA;Beneficios
Promotor;Tengo un descuento de 78% por 19 meses y recomendarlo seria una forma de agradecer ;CONVENIENCIA;Precio
Detractor;Carisimo ;CONVENIENCIA;Precio
Promotor;Muy buen servicio;CONVENIENCIA;Planes
Promotor;Precio;CONVENIENCIA;Precio
Detractor;Aumento del abono todos los meses, los gb del plan son pocos para el costo del plan ;CONVENIENCIA;Precio
Detractor;Demasiado caro ;CONVENIENCIA;Precio
Detractor;No solucionan los reclamos ;RELACIONAMIENTO;Atencion a Clientes
Detractor;50 lucas es carisimo hermano ;CONVENIENCIA;Precio
Promotor;Muy buena y buena atencion ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Caro;CONVENIENCIA;Precio
Pasivo;Que dan promos acorde al presupuesto de uno;CONVENIENCIA;Precio
Pasivo;nunca recomiendo nada;CONVENIENCIA;Promociones
Promotor;fui a la sede de PERSONAL sito en Av. Santa Fe al 1600 CABA, me atendio IGNACIO del SECTOR ENTREGAS , el dia 25 de noviembre de 2024 en forma muy cordial. ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Estoy muy conforme con la atencion y el servicio que brinda Personal.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Porque rinde;CONVENIENCIA;Packs
Pasivo;El servicio es bueno, incluso me regalan gigas. El problema que me cobran percepcion de I. Brutos del 8% en la provincia de Buenos Aires y me encarece el servicio. Intente por telefono y en la sucursal que lo corrijan pero siguen facturandolo. Mi actividad es la de Contador, exento del pago de I. Brutos y no ejerzo en Buenos Aires. Por otra parte en el servicio de cable no me lo cobran. Espero puedan solucionar este tema;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Es un plan muy bueno, y con gran descuento, en particular me re sirve;CONVENIENCIA;Planes
Detractor;Mala senal, mal servicio mala atencion al cliente;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;ultimamente es muy caro el abono. El los anos que estoy con personal nunca nis dieron una promocion de descuento.Estoy pensando seriamente en cambiarme de compania.;CONVENIENCIA;Precio
Pasivo;;CONVENIENCIA;Packs
Detractor;Elevados precios y no hay promociones para clientes antiguos en las empresa ;CONVENIENCIA;Precio
Detractor;El precio excesivo en el abono;CONVENIENCIA;Precio
Detractor;Costo;CONVENIENCIA;Precio
Detractor;Esta muy caros los abono bonifiquen mas ;CONVENIENCIA;Precio
Detractor;No tengo servicio desde el 22/11 ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;;CONVENIENCIA;Packs
Pasivo;Todos los meses aumentan;CONVENIENCIA;Packs
Detractor;Mi linea no puede hacer llamadas telefonicas, no se si es problema de la empresa personal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Suben el precio del abono ;CONVENIENCIA;Precio
Detractor;Estoy intentando dar de baja un plan y bueno como que no dan mucha informacion en el servicio de ayuda ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Caro el servicio, por el tipo de  beneficio que me dan,  que no es coherente con lo que me cobran.;CONVENIENCIA;Precio
Detractor;No cumpl3n con lo acordado;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Porque no tengo problemas con la conexion.;RELACIONAMIENTO;Atencion a Clientes
Promotor;Fue muy amable y resolvio mi inquietud;CONVENIENCIA;Planes
Promotor;Excelente. Rapida y Empatica resolucion a mi problema . Felicitaciones x la atencion recibida x parte de ls Senorita operadora .;RELACIONAMIENTO;Atencion a Clientes
Detractor;;CONVENIENCIA;Precio
Promotor;Nunca tuve ningun problema de comunicacion muy eficientes ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Pesimo servicio;CONVENIENCIA;Precio
Detractor;El precio;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;Mi motivo es que persona es una de las lineas mas barato y duradera ;CONVENIENCIA;Packs
Promotor;Excelente servicio y muy buena promocion ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El mal servicio q brindan y lo caro q es el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buen servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Calidad del servicio y precio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muchas veces pedi la baja porque en mi zona no me funciona internet.. Me dicen que van a solucionar y no lo hacen;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Relacion costo/calidad de servicio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Alto costo;CONVENIENCIA;Precio
Promotor;buena disposicion;CONVENIENCIA;Promociones
Detractor;Dicen que me quede sin gigas dos dias antes de la recarga y me ofrecen pack y es imposible xq la mayor parte del tiempo estoy en mi casa y no uso los datos moviles ;CONVENIENCIA;Planes
Pasivo;Se cortan mucho las llamadas;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;hasta elmomento no he tenido problemas de conexion ni de otro tipo;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy bien servicio...y senal en todas parte;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Funciona bien me atiende excelente cuando me quiero comunicar y siempre me ofrecen  buenas promociones ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Me resulta. Poco los gb y mas es muy caro;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Precio ;CONVENIENCIA;Precio
Pasivo;Hay mucha suba;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Fallas en la cobertura de senal en sectores de jujuy ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Quiero seguir con la linea abono pero puedo abonar el dia 19/12/2024;RELACIONAMIENTO;Atencion a Clientes
Pasivo;buen servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;La buena predisposicion y amabilidad de la operadora;RELACIONAMIENTO;Atencion a Clientes
Promotor;Es muy bueno el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No tengo roaming en el exterior;CONVENIENCIA;Planes
Promotor;Buena atencion y calidad del servicio;RELACIONAMIENTO;Atencion a Clientes
Detractor;Las llamadas se cortan o directamente no me puedo comunicar, no tengo senal en mi casa y en muchos lugares que antes si, los abonos son muy altos para la calidad del servicio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Son muy elevados los precios. Nada recomendable para mis amigos ;CONVENIENCIA;Precio
Promotor;valoracion al cliente con trayectoria;CONVENIENCIA;Beneficios
Promotor;No tengo problemas;RELACIONAMIENTO;Atencion a Clientes
Pasivo;La atencion;RELACIONAMIENTO;Atencion a Clientes
Detractor;No me agrada la politica de precios;CONVENIENCIA;Precio
Detractor;muy caro para el servicio que brindan;CONVENIENCIA;Precio
Pasivo;No cumple con el precio pactado;CONVENIENCIA;Precio
Detractor;;CONVENIENCIA;Precio
Promotor;No tengo queja alguna;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No puedo ver Facebook ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Me atienden bien;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buen servicio y precio;CONVENIENCIA;Precio
Pasivo;precio;CONVENIENCIA;Precio
Pasivo;;CONVENIENCIA;Precio
Detractor;Es cada vez mas recurrente los micro cortes en las llamadas;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Siempre con buena senal t buen servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Satisfacieron mis demandas;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy costoso, irregular el sistema de 4g hay planes iguales en otra compania a mejor precio;CONVENIENCIA;Precio
Promotor;Compre un celular con la aplicacion y llego super rapido y la tencion de lo que personal gracias;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Es malisimo el servicio de llamadas ( se corta cuando estas hablando o en otras ocasiones no da ni el tono de llamada teniendo senal) el internet es malisimo la verdad que esta muy deficiente el sistema;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Por lo bien que funcionan las comunicaciones;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Los precios son altos;CONVENIENCIA;Precio
Promotor;BUENO PERO UN POCO CARO;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Monto alto a pagar;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;El servicio es bueno, no se presentan demasiadas interrupciones;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Buen servicio;CONVENIENCIA;Promociones
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Promotor;estoy conforme con el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Precios ALTISIMOS, mala calidad de servicio;CONVENIENCIA;Precio
Detractor;Muy elevado el costo de este mes por un servicio basico ;CONVENIENCIA;Precio
Promotor;Estoy conforme con el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Precio, servicio;CONVENIENCIA;Precio
Detractor;Por el continuo y exceso de aumento en el servicio;CONVENIENCIA;Precio
Promotor;Buena atencion y informacion muy completa;RELACIONAMIENTO;Atencion a Clientes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;"""Atienden"" mal a sus clientes.. Promos peores que para los nuevos";CONVENIENCIA;Precio
Detractor;se cortan las llamadas cada tanto;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Estoy muy satisfecho ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;pesimo servicio de telefonia;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Funciona bien;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Muy buen servicio, pero el costo un poco elevado;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;No quiero abono.  Quiero darlo de baja y no puedo;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buen servicio;CONVENIENCIA;Promociones
Detractor;Caro;CONVENIENCIA;Precio
Detractor;costoso   caro    ;CONVENIENCIA;Precio
Promotor;porque la puedo utilizar en cualquier lugar ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;abonos muy caros;CONVENIENCIA;Precio
Promotor;Es un servicio excelente. No tengo queja, para mi y toda mi familia ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Servicio muy costoso;CONVENIENCIA;Precio
Promotor;La buena atencion, la propuesta de soluciones viables y eficaces, la claridad de los conceptos utilizados,,la simpatia yy buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;para es excelente ;RELACIONAMIENTO;Atencion a Clientes
Detractor;el valor del abono ;CONVENIENCIA;Precio
Promotor;buena senal, buen servicio... 4g funciona bien;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El precio;CONVENIENCIA;Precio
Promotor;Muy buen servicio ;RELACIONAMIENTO;Atencion a Clientes
Promotor;todo bien ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Mala la conexion de Internet ;CONVENIENCIA;Precio
Pasivo;Mucho aumento de precio en el abono,, poca senal en rutas nacionales ;CONVENIENCIA;Precio
Promotor;El servicio es muy bueno.;CONVENIENCIA;Precio
Promotor;X servicio;RELACIONAMIENTO;Atencion a Clientes
Detractor;Mala senal;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;tengo buen servicio,me toman en cuenta un descuento por ser jubilado con la minima,por eso recomiendo a mis amigos personal,Sebastian Sacco 11 4160 4779 Jorje Obeleiro 11 154039 7586 y muchos mas;RELACIONAMIENTO;Atencion a Clientes
Promotor;Nunca tuve ningun problema;CONVENIENCIA;Beneficios
Promotor;Excelentes promociones;CONVENIENCIA;Promociones
Detractor;Te dejan sin credito y gigas ,estoy sin deudas;CONVENIENCIA;Precio
Promotor;muy buena atencion y predisposicion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Mui 👍 buenas ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Senal muy buena pero imposible comunicarse con un asistente ;CONVENIENCIA;Precio
Promotor;Estoy conforme con el servicio y las respuestas a mis necesidades ;RELACIONAMIENTO;Atencion a Clientes
Detractor;No tienen buenos planes con respecto a los valores que estan cobrando!! Otras empresas trabajan mejores planes con servicios mas acordes a los valores que cobran!!;CONVENIENCIA;Precio
Detractor;Nos roban con sus planes, no ganamos dolaressss.;CONVENIENCIA;Precio
Pasivo;No hay otra empresa con estas caracteristicas;CONVENIENCIA;Packs
Promotor;Estoy muy conforme con la empresa son los mejores lejos del abono puede ser un poco mas caro que las competencias pero es servicio que Personal es el mejor de todo ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy roevado los abonos. Y mal el servicio sobre todo cada vez que queres hacer algun reclamo. Hace anos que estoy teclamando factura A y siempre salen con cualquier verso. ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buena stenvion;RELACIONAMIENTO;Atencion a Clientes
Promotor;No tengo problema ;RELACIONAMIENTO;Atencion a Clientes
Detractor;ESTOY CANSADO DE NO PODER HACER UN CAMBIO DE TITULARIDAR DE ESTA LINEA;RELACIONAMIENTO;Atencion a Clientes
Promotor;La atencion, exelente. ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Estoy muy satisfecha.Siempre fui cliente de Personal.Nunca cambie por otra empresa...;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio y promociones;CONVENIENCIA;Promociones
Promotor;Diferencia con lo pactado ;CONVENIENCIA;Precio
Promotor;servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente el servicio;RELACIONAMIENTO;Atencion a Clientes
Detractor;Nunca me atienden quiero saber ;CONVENIENCIA;Precio
Detractor;ultimamente no tienen mas beneficios como antes, antes teniamos mas gigas de regalos  ;CONVENIENCIA;Precio
Detractor;Que estan siempre en punta con los s valores de los planes ej pago 23000 por 3 hogar y telefonia y por el mismo plan en Movistar paga mi esposa 20000;CONVENIENCIA;Precio
Detractor;no puedo resolver el problema y nadie sabe como hacerlo ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;El servicio es bueno al igual que la senal. Faltaria mejorar los gigas de rooming y tratar de mantener el costo de los abonos ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;no suelo tener senal donde vivo, para llamar a alguien tengo que marcarle hasta 15 veces para que conecte solo la llamada, si no me atiende, tengo que llamar unas 15 mas.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Son accesibles con los descuentos o promociones cuando uno lo nesesita  economicamente ;CONVENIENCIA;Promociones
Detractor;Hay cosas que no me agradan.;CONVENIENCIA;Planes
Promotor;En general muy buena conexion;RELACIONAMIENTO;Atencion a Clientes
Detractor;Hace un mes quqe la linea anda para el ogete y nadie me da una solucion ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Un poco excesivo el precio mensual;CONVENIENCIA;Precio
Detractor;Es muy dificil poder recargar gigas ya que nunca pudimos descargar la aplicacion ya que desconoce nuestro numero telefonico,  que traiamos desde Movistar, con caracteristica de Rio Gallegos. Cuando mas lo necesitamos es muy dificil adquirir gigas;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Mala atencion al cliente, informacion deficiente, problema no resuelto al dia de la fecha (2 semanas del reclamo);RELACIONAMIENTO;Facturacion y Pago 
Detractor;Muy caro;CONVENIENCIA;Precio
Promotor;los planes que ofrece;RELACIONAMIENTO;Atencion a Clientes
Promotor;Excelente atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;todo bien;CONVENIENCIA;Promociones
Promotor;Facturacion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;M3 gusta el trato que dan a los clientes ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;No tengo problemas con la linea pero me molesta tener que renovar los beneficios tan seguido para no pagar algo excesivo;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;CONVENIENCIA;Promociones
Detractor;Mal servicio y caro.;RELACIONAMIENTO;Facturacion y Pago 
Detractor;exclusivamente el precio del abono , es muy caro a pesar de los descuentos que hacen.;CONVENIENCIA;Precio
Promotor;Manejan muy el servicio;CONVENIENCIA;Promociones
Detractor;servicio caro que aumenta constantemente;CONVENIENCIA;Precio
Promotor;Muy bueno  conexion;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buena senal siempre, pero esta un poco elevado el precio ;CONVENIENCIA;Beneficios
Promotor;El servicio es muy bueno dd Personal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El servicio es excesivemente caro;CONVENIENCIA;Precio
Promotor;Por el precio y servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;No tengo ningun problema de servicio ni senal etc;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;funciona bastante bien. en algunos lugares quedamos sin senal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El costo y lo q cuesta comunicarse con servicio al cliente;CONVENIENCIA;Precio
Pasivo;Porque hay cosas para mejorar;CONVENIENCIA;Precio
Pasivo;Es buena pero puede mejorar;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente coneccion y bien plan de abona;CONVENIENCIA;Precio
Pasivo;Servicio calidad;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Por varios motivos;RELACIONAMIENTO;Atencion a Clientes
Promotor;;CONVENIENCIA;Promociones
Detractor;Me aumentan la factura todos los meses. Llamo, le hacen un descuento por seis meses, y al otro mes ya pago mas que el mes anterior.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Buen servicio ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Porque son caros los planes ;CONVENIENCIA;Precio
Promotor;muy buena senal 4g;RELACIONAMIENTO;Atencion a Clientes
Promotor;Es porque hasta ahora me dan planes en precio;CONVENIENCIA;Precio
Pasivo;Buenas atencion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Es demasiado costoso por el servicio que brindan. Muy mala conexion en las rutas argentinas. Solo funciona relativamente bien en caba y conurbano.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;hay zona donde la corbertura de 4G es lamentable;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Funciona exelente;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Ya es imposible pagar los montos de mis facturas ;CONVENIENCIA;Precio
Pasivo;;CONVENIENCIA;Promociones
Pasivo;Pienso que el servicio es bueno pero podria ser slgo mejor ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Siempre funciona bien....;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Amabilidad en la atenci'on al cliente;RELACIONAMIENTO;Atencion a Clientes
Detractor;En algunos lugares como chubut cordillera poca o nada de senal;CONVENIENCIA;Planes
Pasivo;Buen servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Promotor;;CONVENIENCIA;Promociones
Promotor;Planes que se adaptan a nuestra economia ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buena cobertura,,,;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Me dieron una repuesta enseguida ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buen servicio y buenas promociones ;CONVENIENCIA;Promociones
Promotor;Muy expeditivos;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Me quedo sin gigas cuando nunca me habia pasado y sigue siendo caro;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Porq hay q estar llamando porq lo aumentan todo el tiempo;RELACIONAMIENTO;Atencion a Clientes
Detractor;Es muy caro mantener la linea.;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Por que aumenta todos los meses ;CONVENIENCIA;Precio
Promotor;9;CONVENIENCIA;Packs
Promotor;Buena ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buena senal de internet ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Telefonia en general bien pero internet en mi casa es pesimo ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Porque soy cliente hace mas de 15 anos y siempre me anduvo de 10;RELACIONAMIENTO;Atencion a Clientes
Detractor;;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Satisfecha;CONVENIENCIA;Precio
Detractor;Plan muy caro aun con descuento por los beneficios que ofrecen. La competencia esta regalando 50 gigas mensuales por un ano y 90 % de descuento en el plan por un ano;CONVENIENCIA;Promociones
Detractor;no informan bien cuando vas a comprar un equipo nuevo y despues que lo usas te encontras con los inconvenientes ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Desde que nos conectaron internet hasta hoy no funciona , en Caseros 640 San Francisco Cba. Catedral Milagrosa;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buena;CONVENIENCIA;Promociones
Detractor;Mala senal;CONVENIENCIA;Promociones
Promotor;Por precio y servicio , buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;T soluciona al momento las inquietudes q yno tiene con el servicio ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Calidad ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio;RELACIONAMIENTO;Atencion a Clientes
Promotor;Fue todo excelente. ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;buena senal y servicio;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buena cobertura y servicio post venta ;RELACIONAMIENTO;Atencion a Clientes
Promotor;solucionan los inconvenientes en tiempo;RELACIONAMIENTO;Atencion a Clientes
Detractor;La aplicacion funciona muy mal. Rara vez me deja ingresar para verificar mis consumos.;CONVENIENCIA;Planes
Promotor;Siempre resuelve mis inconvenientes entre la prepaga y mi  situacion economica;RELACIONAMIENTO;Atencion a Clientes
Promotor;Tienen buenos planes pero no se los dan a conocer a los usuarios. ;CONVENIENCIA;Promociones
Promotor;Buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;;CONVENIENCIA;Beneficios
Promotor;Muy buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Conforme;CONVENIENCIA;Promociones
Pasivo;El asistente tuvo una predisposicion excelente;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Muy caro el servicio;CONVENIENCIA;Precio
Promotor;Buena senal en cualquier parte ya sea campo o ruta;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Es buena aplicacion, pero es cara;CONVENIENCIA;Beneficios
Promotor;Muy conforme con el servicio.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Thanks for following me! 😍 Let’s get to know each other better. What’s your name?;RELACIONAMIENTO;Atencion a Clientes
Detractor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;hace 2 meses que rusikta imposible comunicarme con cualquier celular o fijo .no tengo nada de senal igual que mi esposo ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Personal  exelente;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;25 anos de cliente !!!;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Mi plan es economico y tiene buena cobertura;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy caro ;RELACIONAMIENTO;Atencion a Clientes
Promotor;9;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Muy buen servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buena atencion;RELACIONAMIENTO;Atencion a Clientes
Detractor;Caro el plan;CONVENIENCIA;Precio
Promotor;Es una buena calificacion;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy caro. A los futuros clientes les ofrecen planes sumamente varatos y a nosotros que venimos desde hace mucho nos matan con los precios de las planes, sin decir que todos los meses aumentan excesivamente.;CONVENIENCIA;Precio
Pasivo;Porque a mi me resulta bien no e tenido problema ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Saber el plan suscripto ;RELACIONAMIENTO;Atencion a Clientes
Promotor;excelente funcionamiento.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Mi experiencia con la empresa;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;cada vez es mas costoso llegar a pagarlo;CONVENIENCIA;Precio
Pasivo;  ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;El servicio es muy bueno y la atencion de sus operadores tambien.;RELACIONAMIENTO;Atencion a Clientes
Detractor;Costo elevado para el regular servicio que prestan;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No se puede confiar en la facturacion;RELACIONAMIENTO;Facturacion y Pago 
Detractor;prometen cosas que despues no cumplen ;CONVENIENCIA;Precio
Promotor;Mucha conectividad;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Nunca tuve problemas;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;a veces funciona mal;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Cumplen ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio;CONVENIENCIA;Precio
Pasivo;Cumplen con lo pactado;CONVENIENCIA;Promociones
Promotor;Excelentes para ayudar ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buen servicio, hay companias mas economicas;CONVENIENCIA;Precio
Promotor;buena atencion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio;RELACIONAMIENTO;Atencion a Clientes
Promotor;Estoy bastante conforme con el servicio y la atencion.;CONVENIENCIA;Promociones
Pasivo;Cobertura y precio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excepto algunas excepciones,  estoy conforme ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Me senti muy bien atendida ;RELACIONAMIENTO;Atencion a Clientes
Detractor;el precio mas alto que en otras companias;CONVENIENCIA;Precio
